// BAND,ch,fRF[MHz],fIF[kHz],TNCOP1,TNCOP2,TNCOP3,TNCOP4,TNCOP6,TNCOP7,ADCLKSELL,PSCOP1,CKRAT
UF,13,473.1428571,0,D0,D0,2,21,0,40,45,16,4
UF,14,479.1428571,0,D0,D0,2,24,0,40,4A,16,4
UF,15,485.1428571,0,D0,D0,1,23,0,40,4A,16,4
UF,16,491.1428571,0,D0,D0,2,23,0,40,4A,16,4
UF,17,497.1428571,0,D0,D0,2,23,0,40,4A,16,4
UF,18,503.1428571,0,D0,D0,2,26,0,40,4A,16,4
UF,19,509.1428571,0,D0,D0,2,26,0,40,4A,16,4
UF,20,515.1428571,0,D0,D0,2,2B,0,40,4A,16,4
UF,21,521.1428571,0,D0,D0,2,26,0,40,4A,16,4
UF,22,527.1428571,0,D0,D0,2,28,0,40,53,16,4
UF,23,533.1428571,0,D0,D0,2,29,0,40,53,16,4
UF,24,539.1428571,0,D0,D0,2,20,0,40,53,16,4
UF,25,545.1428571,0,D0,D0,2,20,0,40,53,16,4
UF,26,551.1428571,0,D0,D0,2,20,0,40,53,16,4
UF,27,557.1428571,0,D0,D0,0,21,0,40,53,16,4
UF,28,563.1428571,0,D0,D0,2,23,0,40,53,16,4
UF,29,569.1428571,0,D0,D0,2,23,0,40,4C,16,4
UF,30,575.1428571,0,D0,D0,2,24,0,40,4C,16,4
UF,31,581.1428571,0,D0,D0,2,23,0,40,4C,16,4
UF,32,587.1428571,0,D0,D0,2,26,0,40,4C,16,4
UF,33,593.1428571,0,D0,D0,1,27,0,40,4C,16,4
UF,34,599.1428571,0,D0,D0,2,29,0,40,4C,16,4
UF,35,605.1428571,0,D0,D0,1,2A,0,40,4C,16,4
UF,36,611.1428571,0,D0,D0,2,2B,0,40,47,16,4
UF,37,617.1428571,0,D0,D0,1,2E,0,40,47,16,4
UF,38,623.1428571,-43,D0,D0,1,2B,0,40,47,16,4
UF,39,629.1428571,0,D0,D0,1,2D,0,40,47,16,4
UF,40,635.1428571,0,D0,D0,0,2F,0,40,47,16,4
UF,41,641.1428571,0,D0,D0,1,2F,0,40,47,16,4
UF,42,647.1428571,0,D0,D0,1,2D,0,40,47,16,4
UF,43,653.1428571,0,D0,D0,1,21,0,40,4E,16,4
UF,44,659.1428571,0,D0,D0,1,21,0,40,4E,16,4
UF,45,665.1428571,0,D0,D0,1,24,0,40,4E,16,4
UF,46,671.1428571,0,D0,D0,0,23,0,40,4E,16,4
UF,47,677.1428571,0,D0,D0,0,23,0,40,4E,16,4
UF,48,683.1428571,0,D0,D0,0,24,0,40,4E,16,4
UF,49,689.1428571,0,D0,D0,0,28,0,40,4E,16,4
UF,50,695.1428571,0,D0,D0,0,24,0,40,4E,16,4
UF,51,701.1428571,0,D0,D0,0,25,0,40,71,16,4
